Date,DARDL.IS
2020-10-13,25.0
2020-10-14,28.299999237060547
2020-10-15,29.0
2020-10-16,28.0
2020-10-19,27.0
2020-10-20,29.040000915527344
2020-10-21,28.8799991607666
2020-10-22,27.959999084472656
2020-10-23,27.0
2020-10-26,24.219999313354492
2020-10-27,26.479999542236328
2020-10-28,26.360000610351562
2020-10-30,25.0
2020-11-02,26.5
2020-11-03,25.399999618530273
2020-11-04,26.399999618530273
2020-11-05,28.299999237060547
2020-11-06,27.5
2020-11-09,26.0
2020-11-10,24.84000015258789
2020-11-11,24.6200008392334
2020-11-12,24.5
2020-11-13,25.15999984741211
2020-11-16,27.65999984741211
2020-11-17,26.5
2020-11-18,25.799999237060547
2020-11-19,25.239999771118164
2020-11-20,26.440000534057617
2020-11-23,26.3799991607666
